Model, BLEU-1                , BLEU-2             , ROUGE-1 RAW           , ACC-1 Retrieval    , ACC-5 Retrieval    , ACC-1 Relation     , ACC-3 Relation     , ACC Corpus
V1   , 0.20683230459690097   , 0.053150724619627  , 0.11318738758563995   , 0.07203389704227448, 0.31144067645072937, 0.13673469424247742, 0.3663265407085418 , 0.4121376872062683
V1-N , 0.00022026518126949668, 0.0                , 0.00014716474106535316, 0.0416666679084301 , 0.2083333283662796 , 0.0714285746216774 , 0.48265305161476135, 0.18885870277881625
V2   , 0.2033693790435791    , 0.05377456918358803, 0.11226706206798552   , 0.07344633340835571, 0.2669491469860077 , 0.15306122601032257, 0.3479591906070709 , 0.5711050629615784
V2-N , 0.0002603827160783112 , 0.0                , 3.429089338169433e-05 , 0.0416666679084301 , 0.2083333283662796 , 0.0714285746216774 , 0.48265305161476135, 0.18885870277881625
